"CHASSIS_NUMBER","SALES_DEALER_ID","SALE_DATE","SALE_PRICE"
"CH00012967","DEALER_005","2020-01-01",78095.00
"CH00012991","DEALER_005","2020-01-01",134931.23
"CH00012996","DEALER_005","2020-01-01",171258.21
"CH00013028","DEALER_005","2020-01-01",58126.61
"CH00013302","DEALER_006","2020-01-01",172130.52
"CH00013344","DEALER_006","2020-01-01",122223.59
"CH00013402","DEALER_006","2020-01-01",180267.27
"CH00013406","DEALER_006","2020-01-01",69270.49
"CH00013426","DEALER_006","2020-01-01",58636.83
"CH00013428","DEALER_006","2020-01-01",68758.49
"CH00013473","DEALER_006","2020-01-01",137377.65
"CH00013509","DEALER_006","2020-01-01",115865.91
"CH00013609","DEALER_007","2020-01-01",129143.55
"CH00013614","DEALER_007","2020-01-01",196179.79
"CH00013689","DEALER_007","2020-01-01",116986.78
"CH00013703","DEALER_007","2020-01-01",235473.60
"CH00013705","DEALER_007","2020-01-01",236451.93
"CH00013746","DEALER_007","2020-01-01",125978.55
"CH00013813","DEALER_007","2020-01-01",70150.98
"CH00013852","DEALER_007","2020-01-01",105064.21
"CH00013933","DEALER_007","2020-01-01",208925.50
"CH00013935","DEALER_007","2020-01-01",125637.89
"CH00013967","DEALER_007","2020-01-01",131382.41
"CH00014058","DEALER_007","2020-01-01",200819.79
"CH00014071","DEALER_008","2020-01-01",128933.55
"CH00014075","DEALER_008","2020-01-01",109658.00
"CH00014149","DEALER_008","2020-01-01",63611.59
"CH00014156","DEALER_008","2020-01-01",137623.09
"CH00014171","DEALER_008","2020-01-01",133374.49
"CH00014214","DEALER_008","2020-01-01",209451.25
"CH00014225","DEALER_008","2020-01-01",123320.21
"CH00014227","DEALER_008","2020-01-01",206403.75
"CH00014253","DEALER_008","2020-01-01",65148.67
"CH00014286","DEALER_008","2020-01-01",108394.92
"CH00014304","DEALER_008","2020-01-01",69911.50
"CH00014338","DEALER_008","2020-01-01",66366.48
"CH00014345","DEALER_008","2020-01-01",55171.85
"CH00014362","DEALER_008","2020-01-01",118570.75
"CH00014371","DEALER_008","2020-01-01",167870.64
"CH00014459","DEALER_008","2020-01-01",125225.79
"CH00014508","DEALER_008","2020-01-01",131496.78
"CH00014577","DEALER_008","2020-01-01",140296.69
"CH00014589","DEALER_008","2020-01-01",80863.02
"CH00014659","DEALER_008","2020-01-01",113952.93
"CH00014665","DEALER_008","2020-01-01",202887.51
"CH00014707","DEALER_008","2020-01-01",145881.75
"CH00014740","DEALER_008","2020-01-01",181350.57
"CH00014741","DEALER_008","2020-01-01",211754.46
"CH00014750","DEALER_008","2020-01-01",145504.45
"CH00014832","DEALER_009","2020-01-01",76938.24
"CH00014880","DEALER_009","2020-01-01",63415.65
"CH00014890","DEALER_009","2020-01-01",104482.86
"CH00014937","DEALER_009","2020-01-01",124496.13
"CH00014974","DEALER_009","2020-01-01",128479.68
"CH00015010","DEALER_009","2020-01-01",200849.76
"CH00015034","DEALER_009","2020-01-01",125482.34
"CH00015140","DEALER_009","2020-01-01",73635.90
"CH00015164","DEALER_009","2020-01-01",70608.19
"CH00015180","DEALER_009","2020-01-01",67717.97
"CH00015186","DEALER_009","2020-01-01",79598.34
"CH00015217","DEALER_009","2020-01-01",239879.15
"CH00015223","DEALER_009","2020-01-01",55525.33
"CH00015251","DEALER_009","2020-01-01",125536.12
"CH00015265","DEALER_009","2020-01-01",179519.67
"CH00015301","DEALER_009","2020-01-01",110516.26
"CH00015306","DEALER_009","2020-01-01",69268.44
"CH00015326","DEALER_009","2020-01-01",132911.75
"CH00015343","DEALER_009","2020-01-01",109777.91
"CH00015358","DEALER_009","2020-01-01",107991.23
"CH00015359","DEALER_009","2020-01-01",148995.94
"CH00015461","DEALER_010","2020-01-01",54782.21
"CH00015477","DEALER_010","2020-01-01",81005.22
"CH00015493","DEALER_010","2020-01-01",119504.33
"CH00015598","DEALER_010","2020-01-01",70626.72
"CH00015643","DEALER_010","2020-01-01",76402.60
"CH00015647","DEALER_010","2020-01-01",125000.20
"CH00015648","DEALER_010","2020-01-01",78409.02
"CH00015688","DEALER_010","2020-01-01",142108.29
"CH00015692","DEALER_010","2020-01-01",201640.29
"CH00015697","DEALER_010","2020-01-01",119299.59
"CH00015707","DEALER_010","2020-01-01",166400.02
"CH00015711","DEALER_010","2020-01-01",119366.82
"CH00015751","DEALER_010","2020-01-01",69571.55
"CH00015816","DEALER_010","2020-01-01",164205.66
"CH00015821","DEALER_010","2020-01-01",134702.78
"CH00015844","DEALER_010","2020-01-01",121461.44
"CH00015875","DEALER_010","2020-01-01",68665.66
"CH00015882","DEALER_010","2020-01-01",250822.91
"CH00015905","DEALER_010","2020-01-01",57401.62
"CH00015981","DEALER_010","2020-01-01",210465.17
"CH00016010","DEALER_010","2020-01-01",140032.57
"CH00016017","DEALER_010","2020-01-01",67012.94
"CH00016067","DEALER_011","2020-01-01",246516.96
"CH00016127","DEALER_011","2020-01-01",63204.91
"CH00016166","DEALER_011","2020-01-01",132963.62
"CH00016188","DEALER_011","2020-01-01",79895.06
"CH00016247","DEALER_011","2020-01-01",63288.56
"CH00016278","DEALER_011","2020-01-01",69632.69
"CH00016294","DEALER_011","2020-01-01",121875.99
"CH00016346","DEALER_011","2020-01-01",163753.71
"CH00016373","DEALER_011","2020-01-01",70941.18
"CH00016386","DEALER_011","2020-01-01",58712.19
"CH00016394","DEALER_011","2020-01-01",204745.62
"CH00016418","DEALER_011","2020-01-01",65886.04
"CH00016425","DEALER_011","2020-01-01",70761.51
"CH00016442","DEALER_011","2020-01-01",71374.42
"CH00016459","DEALER_011","2020-01-01",54839.92
"CH00016628","DEALER_012","2020-01-01",136281.30
"CH00016648","DEALER_012","2020-01-01",130634.27
"CH00016658","DEALER_012","2020-01-01",174485.56
"CH00016666","DEALER_012","2020-01-01",106086.08
"CH00016723","DEALER_012","2020-01-01",113367.33
"CH00016739","DEALER_012","2020-01-01",66258.32
"CH00016769","DEALER_012","2020-01-01",73320.30
"CH00016811","DEALER_012","2020-01-01",121284.31
"CH00016927","DEALER_012","2020-01-01",174006.50
"CH00017002","DEALER_012","2020-01-01",175038.64
"CH00017125","DEALER_012","2020-01-01",106101.52
"CH00017171","DEALER_012","2020-01-01",65886.09
"CH00017195","DEALER_012","2020-01-01",205204.52
"CH00017215","DEALER_012","2020-01-01",68576.25
"CH00017256","DEALER_013","2020-01-01",55622.52
"CH00017355","DEALER_013","2020-01-01",127595.59
"CH00017387","DEALER_013","2020-01-01",56095.42
"CH00017411","DEALER_013","2020-01-01",68245.43
"CH00017495","DEALER_013","2020-01-01",63536.69
"CH00017518","DEALER_013","2020-01-01",173892.83
"CH00017577","DEALER_013","2020-01-01",119649.93
"CH00017600","DEALER_013","2020-01-01",125359.27
"CH00017615","DEALER_013","2020-01-01",119953.06
"CH00017765","DEALER_013","2020-01-01",119940.86
"CH00017870","DEALER_013","2020-01-01",113547.36
"CH00017940","DEALER_014","2020-01-01",72259.38
"CH00017952","DEALER_014","2020-01-01",104001.23
"CH00017964","DEALER_014","2020-01-01",61823.12
"CH00017986","DEALER_014","2020-01-01",103796.26
"CH00017993","DEALER_014","2020-01-01",63264.24
"CH00018037","DEALER_014","2020-01-01",130364.40
"CH00018151","DEALER_014","2020-01-01",55710.58
"CH00018157","DEALER_014","2020-01-01",62830.65
"CH00018190","DEALER_014","2020-01-01",79522.96
"CH00018292","DEALER_014","2020-01-01",105989.71
"CH00018299","DEALER_014","2020-01-01",131308.53
"CH00018327","DEALER_014","2020-01-01",256591.75
"CH00018358","DEALER_014","2020-01-01",64137.44
"CH00018360","DEALER_014","2020-01-01",68815.09
"CH00018364","DEALER_014","2020-01-01",54666.98
"CH00018379","DEALER_014","2020-01-01",66233.66
"CH00018395","DEALER_014","2020-01-01",207292.55
"CH00018396","DEALER_014","2020-01-01",80830.23
"CH00018403","DEALER_014","2020-01-01",62920.49
"CH00018416","DEALER_014","2020-01-01",168630.70
"CH00018516","DEALER_015","2020-01-01",124356.94
"CH00018596","DEALER_015","2020-01-01",131118.09
"CH00018676","DEALER_015","2020-01-01",57961.18
"CH00018721","DEALER_015","2020-01-01",208203.09
"CH00018809","DEALER_015","2020-01-01",107691.93
"CH00018829","DEALER_015","2020-01-01",220287.26
"CH00018897","DEALER_015","2020-01-01",56463.02
"CH00018928","DEALER_015","2020-01-01",81524.74
"CH00018948","DEALER_016","2020-01-01",107312.86
"CH00018987","DEALER_016","2020-01-01",177811.16
"CH00019025","DEALER_016","2020-01-01",129647.27
"CH00019029","DEALER_016","2020-01-01",125966.10
"CH00019042","DEALER_016","2020-01-01",164083.87
"CH00019064","DEALER_016","2020-01-01",124613.58
"CH00019097","DEALER_016","2020-01-01",70365.98
"CH00019237","DEALER_016","2020-01-01",112025.65
"CH00019291","DEALER_016","2020-01-01",118555.01
"CH00019365","DEALER_016","2020-01-01",113805.65
"CH00019376","DEALER_016","2020-01-01",57982.91
"CH00019398","DEALER_016","2020-01-01",65961.18
"CH00019514","DEALER_017","2020-01-01",81295.77
"CH00019590","DEALER_017","2020-01-01",71037.37
"CH00019625","DEALER_017","2020-01-01",172278.06
"CH00019657","DEALER_017","2020-01-01",111110.43
"CH00019668","DEALER_017","2020-01-01",64353.43
"CH00019708","DEALER_017","2020-01-01",230401.89
"CH00019733","DEALER_017","2020-01-01",118639.11
"CH00019827","DEALER_017","2020-01-01",133435.06
"CH00019871","DEALER_017","2020-01-01",139550.04
"CH00019872","DEALER_017","2020-01-01",131967.63
"CH00019931","DEALER_017","2020-01-01",176807.65
"CH00019974","DEALER_017","2020-01-01",114441.77
"CH00020030","DEALER_018","2020-01-01",129588.41
"CH00020122","DEALER_018","2020-01-01",68903.03
"CH00020172","DEALER_018","2020-01-01",145059.70
"CH00020203","DEALER_018","2020-01-01",114598.27
"CH00020210","DEALER_018","2020-01-01",70357.06
"CH00020212","DEALER_018","2020-01-01",63011.13
"CH00020262","DEALER_018","2020-01-01",68955.58
"CH00020274","DEALER_018","2020-01-01",129211.76
"CH00020287","DEALER_018","2020-01-01",113124.03
"CH00020343","DEALER_018","2020-01-01",137819.95
"CH00020351","DEALER_018","2020-01-01",64500.40
"CH00020362","DEALER_018","2020-01-01",129331.84
"CH00020432","DEALER_018","2020-01-01",188264.29
"CH00020446","DEALER_018","2020-01-01",55251.61
"CH00020459","DEALER_018","2020-01-01",66697.59
"CH00020461","DEALER_018","2020-01-01",72606.19
"CH00020476","DEALER_018","2020-01-01",64500.55
"CH00020535","DEALER_018","2020-01-01",224470.77
"CH00020581","DEALER_018","2020-01-01",119456.93
"CH00020592","DEALER_018","2020-01-01",68127.94
"CH00020603","DEALER_018","2020-01-01",71475.12
"CH00020722","DEALER_019","2020-01-01",207159.96
"CH00020735","DEALER_019","2020-01-01",59275.26
"CH00020765","DEALER_019","2020-01-01",125156.97
"CH00020849","DEALER_019","2020-01-01",77740.73
"CH00020919","DEALER_019","2020-01-01",76796.04
"CH00020980","DEALER_019","2020-01-01",131039.74
"CH00020990","DEALER_019","2020-01-01",116812.73
"CH00020999","DEALER_019","2020-01-01",143852.14
"CH00021077","DEALER_019","2020-01-01",133553.75
"CH00021155","DEALER_019","2020-01-01",117577.08
"CH00021206","DEALER_020","2020-01-01",71143.86
"CH00021245","DEALER_020","2020-01-01",75511.64
"CH00021288","DEALER_020","2020-01-01",74215.90
"CH00021399","DEALER_020","2020-01-01",62129.26
"CH00021430","DEALER_020","2020-01-01",68578.12
"CH00021449","DEALER_020","2020-01-01",66191.43
"CH00021513","DEALER_020","2020-01-01",58040.35
"CH00021540","DEALER_020","2020-01-01",189462.14
"CH00021557","DEALER_020","2020-01-01",66205.56
"CH00021607","DEALER_020","2020-01-01",164343.24
"CH00021674","DEALER_020","2020-01-01",65090.71
"CH00021710","DEALER_020","2020-01-01",76777.44
"CH00021744","DEALER_020","2020-01-01",120210.94
"CH00021749","DEALER_020","2020-01-01",247064.15
"CH00021770","DEALER_021","2020-01-01",129879.12
"CH00021815","DEALER_021","2020-01-01",73058.23
"CH00021823","DEALER_021","2020-01-01",76974.42
"CH00021850","DEALER_021","2020-01-01",64563.73
"CH00021857","DEALER_021","2020-01-01",125349.62
"CH00021860","DEALER_021","2020-01-01",60100.83
"CH00021892","DEALER_021","2020-01-01",120727.40
"CH00021909","DEALER_021","2020-01-01",72003.88
"CH00021910","DEALER_021","2020-01-01",120437.77
"CH00021923","DEALER_021","2020-01-01",71630.48
"CH00021947","DEALER_021","2020-01-01",79575.32
"CH00021960","DEALER_021","2020-01-01",180618.57
"CH00021973","DEALER_021","2020-01-01",62720.01
"CH00022014","DEALER_021","2020-01-01",182929.12
"CH00022023","DEALER_021","2020-01-01",215104.81
"CH00022027","DEALER_021","2020-01-01",64372.63
"CH00022073","DEALER_021","2020-01-01",66156.15
"CH00022113","DEALER_021","2020-01-01",64133.26
"CH00022131","DEALER_021","2020-01-01",113961.09
"CH00022135","DEALER_021","2020-01-01",132928.71
"CH00022139","DEALER_021","2020-01-01",105457.69
"CH00022160","DEALER_021","2020-01-01",60883.68
"CH00022181","DEALER_021","2020-01-01",70087.22
"CH00022221","DEALER_021","2020-01-01",128486.71
"CH00022231","DEALER_021","2020-01-01",257513.97
"CH00022233","DEALER_021","2020-01-01",123924.58
"CH00022304","DEALER_021","2020-01-01",104859.02
"CH00022308","DEALER_021","2020-01-01",62245.34
"CH00022309","DEALER_021","2020-01-01",59223.21
"CH00022313","DEALER_021","2020-01-01",205197.17
"CH00022320","DEALER_021","2020-01-01",122817.42
"CH00022335","DEALER_021","2020-01-01",63230.42
"CH00022347","DEALER_021","2020-01-01",201675.34
"CH00022362","DEALER_021","2020-01-01",66586.31
"CH00022395","DEALER_022","2020-01-01",243843.98
"CH00022405","DEALER_022","2020-01-01",130816.96
"CH00022407","DEALER_022","2020-01-01",62976.47
"CH00022687","DEALER_022","2020-01-01",166909.46
"CH00022695","DEALER_022","2020-01-01",123329.26
"CH00022761","DEALER_022","2020-01-01",72408.99
"CH00022774","DEALER_022","2020-01-01",55779.25
"CH00022788","DEALER_022","2020-01-01",208905.04
"CH00022793","DEALER_022","2020-01-01",177923.29
"CH00022811","DEALER_022","2020-01-01",70354.39
"CH00022859","DEALER_022","2020-01-01",65288.40
"CH00022900","DEALER_023","2020-01-01",78184.61
"CH00022914","DEALER_023","2020-01-01",57522.26
"CH00022922","DEALER_023","2020-01-01",209850.39
"CH00022995","DEALER_023","2020-01-01",70995.46
"CH00023008","DEALER_023","2020-01-01",68524.40
"CH00023035","DEALER_023","2020-01-01",55195.89
"CH00023040","DEALER_023","2020-01-01",134420.92
"CH00023088","DEALER_023","2020-01-01",76915.87
"CH00023089","DEALER_023","2020-01-01",71598.00
"CH00023096","DEALER_023","2020-01-01",75823.44
"CH00023139","DEALER_023","2020-01-01",179756.25
"CH00023165","DEALER_023","2020-01-01",188723.46
"CH00023168","DEALER_023","2020-01-01",134459.61
"CH00023185","DEALER_023","2020-01-01",68549.08
"CH00023196","DEALER_023","2020-01-01",131762.77
"CH00023229","DEALER_023","2020-01-01",67286.42
"CH00023257","DEALER_023","2020-01-01",122567.42
"CH00023277","DEALER_023","2020-01-01",80090.67
"CH00023360","DEALER_023","2020-01-01",144488.37
"CH00023468","DEALER_024","2020-01-01",70204.62
"CH00023478","DEALER_024","2020-01-01",128960.95
"CH00023529","DEALER_024","2020-01-01",65919.98
"CH00023555","DEALER_024","2020-01-01",132522.12
"CH00023574","DEALER_024","2020-01-01",64201.76
"CH00023608","DEALER_024","2020-01-01",131365.49
"CH00023625","DEALER_024","2020-01-01",146525.21
"CH00023626","DEALER_024","2020-01-01",80577.14
"CH00023632","DEALER_024","2020-01-01",54827.08
"CH00023680","DEALER_024","2020-01-01",164309.49
"CH00023702","DEALER_024","2020-01-01",78850.51
"CH00023722","DEALER_024","2020-01-01",117577.23
"CH00023736","DEALER_024","2020-01-01",148343.89
"CH00023752","DEALER_024","2020-01-01",67432.15
"CH00023852","DEALER_024","2020-01-01",108390.55
"CH00023884","DEALER_024","2020-01-01",169484.91
"CH00023909","DEALER_024","2020-01-01",128354.34
"CH00023959","DEALER_024","2020-01-01",69839.68
"CH00023961","DEALER_024","2020-01-01",70460.60
"CH00023966","DEALER_024","2020-01-01",127459.37
"CH00023982","DEALER_024","2020-01-01",126625.35
"CH00023993","DEALER_024","2020-01-01",124219.72
"CH00023997","DEALER_024","2020-01-01",252837.62
"CH00024018","DEALER_025","2020-01-01",106275.66
"CH00024111","DEALER_025","2020-01-01",123607.76
"CH00024121","DEALER_025","2020-01-01",70524.95
"CH00024149","DEALER_025","2020-01-01",67487.63
"CH00024224","DEALER_025","2020-01-01",64806.31
"CH00024237","DEALER_025","2020-01-01",117865.94
"CH00024244","DEALER_025","2020-01-01",167195.34
"CH00024268","DEALER_025","2020-01-01",199969.17
"CH00024320","DEALER_025","2020-01-01",113670.79
"CH00024349","DEALER_025","2020-01-01",114159.37
"CH00024353","DEALER_025","2020-01-01",114244.58
"CH00024360","DEALER_025","2020-01-01",207248.18
"CH00024371","DEALER_025","2020-01-01",59315.23
"CH00024377","DEALER_025","2020-01-01",110889.70
"CH00024431","DEALER_025","2020-01-01",117890.18
"CH00024466","DEALER_025","2020-01-01",80138.87
"CH00024476","DEALER_025","2020-01-01",61298.87
"CH00024486","DEALER_025","2020-01-01",107190.62
"CH00024491","DEALER_025","2020-01-01",79313.75
"CH00024499","DEALER_025","2020-01-01",115031.84
"CH00024600","DEALER_026","2020-01-01",206091.47
"CH00024630","DEALER_026","2020-01-01",63938.60
"CH00024649","DEALER_026","2020-01-01",244764.76
"CH00024667","DEALER_026","2020-01-01",125994.17
"CH00024681","DEALER_026","2020-01-01",79185.74
"CH00024700","DEALER_026","2020-01-01",149340.89
"CH00024709","DEALER_026","2020-01-01",134713.73
"CH00024747","DEALER_026","2020-01-01",78821.00
"CH00024845","DEALER_026","2020-01-01",189720.36
"CH00024870","DEALER_026","2020-01-01",134992.36
"CH00024882","DEALER_026","2020-01-01",109641.64
"CH00024912","DEALER_026","2020-01-01",233003.22
"CH00025031","DEALER_026","2020-01-01",66166.87
"CH00025041","DEALER_026","2020-01-01",142230.87
"CH00025045","DEALER_026","2020-01-01",187062.05
"CH00025074","DEALER_026","2020-01-01",64169.15
"CH00025122","DEALER_027","2020-01-01",80781.00
"CH00025140","DEALER_027","2020-01-01",132011.71
"CH00025143","DEALER_027","2020-01-01",245205.91
"CH00025179","DEALER_027","2020-01-01",119122.97
"CH00025189","DEALER_027","2020-01-01",126499.35
"CH00025200","DEALER_027","2020-01-01",121077.21
"CH00025331","DEALER_027","2020-01-01",108463.86
"CH00025400","DEALER_027","2020-01-01",194041.25
"CH00025421","DEALER_027","2020-01-01",189526.29
"CH00025501","DEALER_028","2020-01-01",118061.11
"CH00025518","DEALER_028","2020-01-01",121226.09
"CH00025532","DEALER_028","2020-01-01",80613.04
"CH00025557","DEALER_028","2020-01-01",123495.84
"CH00025674","DEALER_028","2020-01-01",148401.36
"CH00025679","DEALER_028","2020-01-01",125447.09
"CH00025904","DEALER_028","2020-01-01",171386.09
"CH00025983","DEALER_029","2020-01-01",75877.56
"CH00026050","DEALER_029","2020-01-01",68843.23
"CH00026067","DEALER_029","2020-01-01",57059.68
"CH00026094","DEALER_029","2020-01-01",131019.77
"CH00026104","DEALER_029","2020-01-01",56418.43
"CH00026118","DEALER_029","2020-01-01",203603.77
"CH00026155","DEALER_029","2020-01-01",123061.59
"CH00026166","DEALER_029","2020-01-01",129846.73
"CH00026186","DEALER_029","2020-01-01",203115.89
"CH00026235","DEALER_029","2020-01-01",127327.56
"CH00026253","DEALER_029","2020-01-01",65294.52
"CH00026255","DEALER_029","2020-01-01",111125.15
"CH00026297","DEALER_029","2020-01-01",203167.22
"CH00026316","DEALER_029","2020-01-01",126487.94
"CH00026355","DEALER_029","2020-01-01",235961.48
"CH00026386","DEALER_029","2020-01-01",114910.53
"CH00026429","DEALER_030","2020-01-01",68742.62
"CH00026468","DEALER_030","2020-01-01",209087.38
"CH00026503","DEALER_030","2020-01-01",252954.08
"CH00026507","DEALER_030","2020-01-01",72398.00
"CH00026545","DEALER_030","2020-01-01",116689.30
"CH00026572","DEALER_030","2020-01-01",175867.44
"CH00026614","DEALER_030","2020-01-01",73546.21
"CH00026707","DEALER_030","2020-01-01",65693.78
"CH00026805","DEALER_031","2020-01-01",65563.25
"CH00026810","DEALER_031","2020-01-01",60198.06
"CH00026818","DEALER_031","2020-01-01",236450.18
"CH00026853","DEALER_031","2020-01-01",66427.45
"CH00026854","DEALER_031","2020-01-01",172242.07
"CH00026889","DEALER_031","2020-01-01",66445.03
"CH00026915","DEALER_031","2020-01-01",111473.68
"CH00026938","DEALER_031","2020-01-01",67920.92
"CH00026989","DEALER_031","2020-01-01",145640.64
"CH00026992","DEALER_031","2020-01-01",123266.86
"CH00027034","DEALER_031","2020-01-01",56243.48
"CH00027035","DEALER_031","2020-01-01",223985.08
"CH00027041","DEALER_031","2020-01-01",126042.78
"CH00027052","DEALER_031","2020-01-01",59972.18
"CH00027067","DEALER_031","2020-01-01",135409.24
"CH00027080","DEALER_031","2020-01-01",69281.98
"CH00027124","DEALER_031","2020-01-01",126477.92
"CH00027139","DEALER_031","2020-01-01",133114.15
"CH00027149","DEALER_031","2020-01-01",68722.09
"CH00027235","DEALER_032","2020-01-01",81744.12
"CH00027265","DEALER_032","2020-01-01",63965.62
"CH00027267","DEALER_032","2020-01-01",68613.54
"CH00027278","DEALER_032","2020-01-01",129500.52
"CH00027295","DEALER_032","2020-01-01",139431.86
"CH00027299","DEALER_032","2020-01-01",131194.51
"CH00027471","DEALER_032","2020-01-01",58410.96
"CH00027518","DEALER_032","2020-01-01",135226.36
"CH00027523","DEALER_032","2020-01-01",165058.09
"CH00027544","DEALER_032","2020-01-01",168446.13
"CH00027549","DEALER_032","2020-01-01",246398.20
"CH00027585","DEALER_032","2020-01-01",238422.02
"CH00027605","DEALER_032","2020-01-01",207557.19
"CH00027646","DEALER_033","2020-01-01",70491.57
"CH00027700","DEALER_033","2020-01-01",108952.03
"CH00027704","DEALER_033","2020-01-01",64263.18
"CH00027742","DEALER_033","2020-01-01",59776.33
"CH00027744","DEALER_033","2020-01-01",207700.54
